Doc_ID,Nama_Tempat,Lokasi,Rating,Teks_Mentah
35,Camp Ground,"Gunungkidul, DIY",4.0,"Tempat nya bagus banget buat camp, rute perjalanan sulit untuk dilalui mobil (motor juga tetap tidak mudah), sekarang sudah banyak sampah di camp ground nya, mungkin bisa diperbanyak pohon lagi..., SARAN WAJIB : membawa kipas angin portable karena panas sekali di dalam tenda, semoga kedepannya pengunjung lebih bisa menjaga kebersihan dengan lebih baik"
36,Camp Ground,"Gunungkidul, DIY",5.0,Pertama kita nyesel pertama kali sampai karna tidak bisa mandi2 tapi setelah kami menegakkan tenda dan menikmati pemandangan lalu foto bareng baru lah kami merasa kehilangan akan rasa kesel
37,Camp Ground,"Gunungkidul, DIY",5.0,Pemandangan sangat luar biasa. Kesini saat cuaca cerah dan kesini bisa menikmati sunset kesirat. Pantai kesirat ini jg memiliki tebing2 yg sangat bagus dan bisa utk ngecamp bareng teman sambil menikmati view pemandangan yg sangat bagus dan suasana yg asri.
38,Camp Ground,"Gunungkidul, DIY",5.0,"Sepertinya hingga saat ini belum banyak orang yang tahu tentang lokasi camping yang satu ini, jadi wajar bila suasananya masih terasa sangat alami begini, selain menawarkan keindahan alam yang sangat memesona, disini juga merupakan surganya bagi para pemancing maupun nelayan untuk mencari ikan laut. Jadi jangan heran bila anda menemui beberapa pemancing atau nelayan di kawasan sini, namun jika anda juga memiliki hobi memancing, anda bisa langsung bergabung dengan mereka dan memancing bersama, pasti seru"
39,Camp Ground,"Gunungkidul, DIY",5.0,"Tempatnya keren banget,, lokasi tidak terlalu jauh dari kota. Waktu saya berkunjung, pas lagi cerah dan rumputnya sedang hijau. Serasa pergi ke gunung untuk melihat laut."
40,Camp Ground,"Gunungkidul, DIY",4.0,Tempatnya masih belum rata...banyak batunya...
41,Jogja Camp,"Gunungkidul, DIY",5.0,"Camping ground oke deket pantai sundak, jalannya aman dan mulus, kamar mandi nya bnyak gaperlu khawatir antri, dan paling penting keamanannya dipikirin banget sih kayak listrik ada di bagian limasan tidak dimsukkin ke tenda jadi aman kalau hujan juga"
42,Jogja Camp,"Gunungkidul, DIY",5.0,"Fasilitasnya lengkap banget! Toilet bersih, ada penjaga nya ramah, resepsionis, paket canoe dan snorkeling, panggung, bahkan disediakan hammock. Suasana hutan dan pantai bikin betah!"
43,Jogja Camp,"Gunungkidul, DIY",5.0,"Lokasi sangat dekat dengan pantai sundak. Pengalaman pertama camping dengan anak jadi cari lokasi yang sudah include tenda. Untuk tenda masih ok untuk 2 dewasa dan 1 anak. Fasilitas parkir aman, kamar mandi buanyak, listrik ada, tempat nyuci perlengkapan masak ada, musholla ada. Pulang dari sana anak minta hammock buat main ayunan"
44,Jogja Camp,"Gunungkidul, DIY",5.0,"Camping di sini berasa kayak liburan di tempat bebas tapi serba ada. Bisa tidur di alam tapi tetap nyaman karena fasilitasnya top. Udah gitu, suara ombak bikin tidur makin nyenyak!"
45,Jogja Camp,"Gunungkidul, DIY",5.0,"Area camp-nya luas, kalau ke pantai cukup jalan kaki, tapi jadi aman ga terlalu dingin anginnya Stafnya juga bantu banget saat kita butuh sesuatu"
46,Jogja Camp,"Gunungkidul, DIY",5.0,"lokasi benar benar privat, ga langsung berhadapan dengan laut, pelayanan bagus, fasilitas bagus, ada palet dibawah tenda kalo hujan tidak risau lantai basah"
47,Jogja Camp,"Gunungkidul, DIY",5.0,"tempat nya bagus, parkiran nya juga luas. pemandangan nya indah, cocok untuk bersantai bersama keluarga dan teman terdekat."
48,Jogja Camp,"Gunungkidul, DIY",5.0,"Saya dan teman2 hanya berempat reservasi via online saya janji datang jam 9 malam tapi ternyata molor dan saya beserta teman2 sampai lokasi jam 11 malam. Sesampai dilokasi masih ada petugas yang memang menunggu kedatangan kami, Petugas nya sangat ramah. Disitu kami langsung di arahkan ke tenda dan ternyata malam itu yang menginap hanya kami berempat tetapi fasilitas serperti api unggun tetap di siapkan. Tempat nya private, bersih, dan asri karena banyak pepohonan"
49,Jogja Camp,"Gunungkidul, DIY",5.0,"Meskipun ramai, tempat ini tetap terasa tenang. Aturannya bagus, jadi gak ada yang berisik berlebihan."
50,Jogja Camp,"Gunungkidul, DIY",5.0,"Buat kalian yang pengen cari suasana camping baru boleh nih cobain Camp JogjaCamp, deket pantai dan fasilitasnya komplit"
51,Camping Ground Bukit Klangon,"Sleman, DIY",5.0,"Memang tempat paling asik buat camping. Campervan bisa naik. Kamar mandi pendopo barat ada 2, timur ada 8. Ada colokan listrik banyak di deket camping ground."
52,Camping Ground Bukit Klangon,"Sleman, DIY",5.0,"Ada htm camping perorang kalau mau tracking htm beda lagi, fasilitas ada lahan parkir, spot foto, warung pendopo bisa untuk sholat, toilet cukup banyak walau kurang bersih seadanya. View okeee"
53,Camping Ground Bukit Klangon,"Sleman, DIY",5.0,"Datang waktu weekdays jadi sepi asri & tenang. Camping ground nya bersih, tersedia kamar mandi jg yg bersih. Tersedia toilet yg lumayan bersih"
54,Camping Ground Bukit Klangon,"Sleman, DIY",5.0,setiap hari bisa .. tapi jika hari biasa relatif lebih sepi dan tidak ada petugas yang standby di lokasi..hanya petugas keliling malam secara berkala
55,Camping Ground Bukit Klangon,"Sleman, DIY",5.0,"Kamar mandi, listrik aman dan bersih"
56,Lor Sambi Camping Ground,"Sleman, DIY",1.0,"komunikasinya buruk sekali karena. tempat saya tidak sesuai dengan lahan yang saya pesan. sudah DP dari jauh"" hari tgl 7 juli. pas tgl 19 sampai tidak sesuai."
57,Lor Sambi Camping Ground,"Sleman, DIY",5.0,"Tempat camping yg ramah anak. Fasilitas : Toilet, mushola, cafe, air bersih, tempat sampah, listrik Lokasinya syahdu diantara 2 bukit. Sungai kali kuning mengalir tidak deras jd aman buat bermain anak anak. Harga sewa lokasi 35 rb per orang.parkir 20rb untuk mobil. Ada lahan untuk bermain anak2...bahkan untuk acara jg sangat relomended."
